                           Wind MFI and SWE Data, 1 minute resolution, GSE coordinates
Year  DOY  millisecs       B          Bx         By         Bz       Theta       Phi         V         Vth         Np        Beta   
                           nT         nT         nT         nT        deg        deg        km/s       km/s       cm^3              
2011  252  53251753      19.50      -5.31      11.11     -15.03     -50.68     115.52      442.1       71.6        8.4      0.237
2011  252  53359074      20.42       0.17       5.33     -19.56     -74.75      88.21      446.1       88.4        8.6      0.339
2011  252  53451910      19.81       0.91       3.92     -15.13     -75.11      76.89      441.9       89.4        9.7      0.414
2011  252  53550027      18.09      -0.27      11.90     -13.19     -47.92      91.32      449.9      117.0        8.7      0.765
2011  252  53658097      16.49      -0.20       4.67     -15.77     -73.48      92.47      464.1      124.3        8.3      0.996
2011  252  53747156      16.52      -0.12       7.70     -14.29     -61.66      90.92      469.6      104.5        7.3      0.614
2011  252  53845960      17.47      -0.12      11.08     -13.43     -50.49      90.61      467.1      115.6        7.4      0.677
2011  252  53950140      17.34      -0.07       9.54     -14.46     -56.57      90.44      470.0      112.8        6.9      0.614
2011  252  54060597      17.86       0.50      11.00     -13.97     -51.76      87.37      479.4      102.4        6.1      0.421
2011  252  54138105      18.36       0.21      12.38     -13.34     -47.14      89.02      448.1      131.5        6.6      0.713
2011  252  54242320      18.65      -2.66       9.52     -15.51     -57.47     105.63      483.4      108.7        5.6      0.397
2011  252  54332808      18.90       0.15      10.73     -15.53     -55.36      89.18      468.6      101.7        6.0      0.365
2011  252  54443875      19.17       1.16      14.22     -12.71     -41.70      85.32      485.0       91.9        5.0      0.240
2011  252  54536535      19.74       1.29      15.21     -12.44     -39.18      85.15      487.7      125.2        5.4      0.455
