Wind SWE Data, 1 minute resolution, GSE coordinates
Year  DOY  millisecs      Vth         Np    
                          km/s       cm^3   
2000  197  62017056      153.8       11.7
2000  197  62110368      180.7       14.3
2000  197  62207135      179.3       15.5
2000  197  62300447      369.6       31.0
2000  197  62393759      157.3       11.9
2000  197  62487936      198.7       16.0
2000  197  62583839      184.2       15.0
2000  197  62770463      152.5       11.4
2000  197  62864639      194.3       17.2
2000  197  62960544      192.7       13.8
2000  197  63053856      178.8       16.1
2000  197  63147168      181.3       14.4
2000  197  63241343      210.1       15.1
2000  197  63337247      186.6       14.5
2000  197  63524736      190.7       10.2
2000  197  63618048      237.1       12.3
2000  197  63713951      216.8       13.2
2000  197  63807263      184.6        9.0
2000  197  63901439      190.5       10.5
2000  197  63994751      224.1       12.1
2000  197  64090656      243.6       14.6
2000  197  64183968      209.5        7.0
2000  197  64278143      234.0       11.3
2000  197  64371455      137.6        7.0
2000  197  64464767      194.1       12.1
2000  197  64558943      253.4       14.5
2000  197  64652255      179.8        8.4
2000  197  64745567      153.4        9.2
2000  197  64933056      235.3       11.8
2000  197  65028959      148.4        8.5
2000  197  65123135      144.8       10.2
2000  197  65216447      373.6       17.8
2000  197  65309759      224.6       10.5
2000  197  65405664      180.8       11.9
2000  197  65593151      262.0        9.9
