             Wind MFI Data, 1 minute resolution, GSE coordinates
Year  DOY  millisecs       B          Bx         By         Bz       Theta       Phi    
                           nT         nT         nT         nT        deg        deg    
2014  105  22050000       3.24      -1.95      -2.02      -1.59     -29.50     225.99
2014  105  22110000       3.30      -1.82      -2.33      -1.43     -25.85     231.98
2014  105  22170000       3.32      -1.85      -2.36      -1.37     -24.50     231.87
2014  105  22230000       3.27      -1.86      -2.18      -1.54     -28.21     229.43
2014  105  22290000       3.32      -1.85      -2.31      -1.48     -26.59     231.39
2014  105  22350000       3.43      -1.68      -2.08      -2.12     -38.38     231.10
2014  105  22410000       3.45      -1.76      -1.92      -2.23     -40.59     227.47
2014  105  22470000       3.53      -1.48      -1.92      -2.55     -46.38     232.44
2014  105  22530000       3.35      -1.77      -1.91      -2.07     -38.43     227.24
2014  105  22590000       3.25      -2.34      -1.92      -1.18     -21.23     219.31
2014  105  22650000       3.27      -2.54      -1.81      -0.94     -16.82     215.44
2014  105  22710000       3.30      -2.24      -2.00      -1.36     -24.44     221.70
2014  105  22770000       3.27      -2.29      -1.82      -1.39     -25.38     218.51
2014  105  22830000       3.33      -1.81      -1.27      -2.45     -47.89     215.11
2014  105  22890000       3.33      -1.53      -1.72      -2.35     -45.61     228.27
2014  105  22950000       3.42      -1.66      -1.56      -2.51     -47.72     223.17
2014  105  23010000       3.35      -0.56      -0.80      -2.85     -71.05     234.88
2014  105  23070000       3.03       0.92      -0.03      -2.86     -72.18     357.95
2014  105  23130000       3.17       0.41      -0.28      -3.11     -80.90     325.28
2014  105  23190000       2.87      -0.20      -0.46      -2.81     -79.96     246.14
2014  105  23250000       2.43      -0.31      -0.33      -2.37     -79.23     226.87
